username,date,percentage,age,hash
ethan41,2022-05-18,0.46,20,9835954d6d4b38efd86db009c816517c
fiona42,2023-12-28,0.49,61,8ab21905fce201968227118121515fec
gary43,2022-04-15,0.64,30,59365fa4e28852263264748722660db7
hailey44,2023-05-19,0.64,64,c1fdbe85b36b55f2b28380f92715cd68
ivan45,2021-03-26,0.24,22,8ac3042642a0b56bd0a1b95cb3f62f43
julia46,2024-10-22,0.45,62,169ed58d3d712bd8236bc08dc5166792
kevin47,2025-01-15,0.44,18,648296c79f7d73b47ab3c05cdbb20a7e
laura48,2024-09-26,0.78,23,ce61f810a65cf32ef54a3c1a26c77128
mason49,2023-03-22,0.45,37,855de3747a2fcd1f2edf845eeb41dfba
nina410,2025-08-04,0.31,48,a57888f89e0533e9d55d54d5cdb4f42a
oscar411,2023-06-01,0.43,28,f5d71d1644943caf1224371d82c98c3e
paula412,2025-08-01,0.94,41,5b3ba6d3e4b4122981639571ea43385c
ryan413,2025-09-11,0.01,34,3c4a3128cc4ee713d5fb95d634fad892
sophia414,2024-11-11,0.99,60,6282d9d323c97c154280cb02308beed9
tyler415,2021-12-27,0.96,59,aa7bf1149b85d7d421b1ed5baa71f63c
ulysses416,2023-05-26,0.44,45,28a51f04135699a8bf39f9f31760a210
violet417,2023-08-05,0.31,52,1cefaf02040d0a0bb164e6db981b70b8
wyatt418,2025-05-18,0.76,57,6b8cc5313bd16230fb22b6699950cf31
ximena419,2024-04-19,0.70,60,a08dcad59bf839f954b5e1a511913cd2
yusuf420,2024-05-02,0.95,21,c54d1408098809ec377f15aec5957937
zara421,2023-07-07,0.10,57,836438170146af5ead3108d97dbc1700
adam422,2025-03-25,0.70,49,aa0524dbcd1ec7a2fe18f32d84ad7bc4
bella423,2020-05-21,0.80,43,32952f3899053423e179e73b770222c9
carter424,2021-08-23,0.93,31,f30da92607f61b84a7532db8846084c7
daisy425,2020-01-04,0.26,41,6169097f55fbeb6821b0a9df7c156b68
elliot426,2023-12-28,0.49,60,dfde8d7f857db029cab890ca5c7e2812
flora427,2020-12-08,0.73,44,fdac1bf1a9616155ecdb98d94c61978d
george428,2024-11-15,0.03,44,4e1fce578852a468f9acc0b0b11548b5
holly429,2020-05-11,0.23,45,19ef6d0c5c630fb0c64dc67560c26c41
ian430,2024-01-18,0.53,65,6a7635420ec9b6a966550cdd430bcd91
jasmine431,2023-01-26,0.18,41,7aa3a513dc006c1c3bc6b8c6a57ec2cf
kyle432,2020-02-22,0.79,55,5a2a2d8e45452d633d44a9891716ee63
lily433,2023-12-22,0.81,54,078589bfc9c87032dd52ae5273c8dfd4
mike434,2023-08-26,0.81,45,aff40e56b812c2b75fa31e5a396bc51f
nina435,2022-04-09,0.54,47,3988eaf4d8a2a6e38ec45eb315014c6a
omar436,2025-01-22,0.00,56,8af539d5e14c92806fce7398835d6592
penny437,2024-06-04,0.21,58,7ad0bf29cef2c5291a0dfdd0b672ad41
quincy438,2020-04-28,0.06,61,20bc108082860d4925dccfa92325302d
rachel439,2025-12-19,0.86,44,81481b3f6cc5da765064d5f6bb09c1bf
steven440,2022-10-01,0.81,39,9398e96e3c708984dbc0f864f81e2760
